net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,179.539,90,23 36 49 53 43 53 43 30 43 30,S35 C45 C50 S60 C41,seam,35,26.193,0.065145,-105.153,226.125
VBUS,1,179.539,90,23 36 49 53 43 53 43 30 43 30,S35 C45 C50 S60 C41,crease,45,58.418,0.14529,-181.396,-82.369
VBUS,1,179.539,90,23 36 49 53 43 53 43 30 43 30,S35 C45 C50 S60 C41,crease,50,18.486,0.045976,-165.529,-71.351
VBUS,1,179.539,90,23 36 49 53 43 53 43 30 43 30,S35 C45 C50 S60 C41,seam,60,18.486,0.045976,-90.312,5.001
VBUS,1,179.539,90,23 36 49 53 43 53 43 30 43 30,S35 C45 C50 S60 C41,crease,41,58.418,0.14529,-71.163,10.415
V5,1,220.879,120,30 17 30 17 4 17 4 0 4 0 9 22 23 36,C29 C14 S4 C5 S22 C22 S35,crease,29,26.193,0.065145,-56.112,16.54
V5,1,220.879,120,30 17 30 17 4 17 4 0 4 0 9 22 23 36,C29 C14 S4 C5 S22 C22 S35,crease,14,58.418,0.14529,-43.836,27.188
V5,1,220.879,120,30 17 30 17 4 17 4 0 4 0 9 22 23 36,C29 C14 S4 C5 S22 C22 S35,seam,4,18.486,0.045976,-20.118,33.767
V5,1,220.879,120,30 17 30 17 4 17 4 0 4 0 9 22 23 36,C29 C14 S4 C5 S22 C22 S35,crease,5,18.902,0.04701,68.148,73.592
V5,1,220.879,120,30 17 30 17 4 17 4 0 4 0 9 22 23 36,C29 C14 S4 C5 S22 C22 S35,seam,22,58.301,0.145,88.186,79.489
V5,1,220.879,120,30 17 30 17 4 17 4 0 4 0 9 22 23 36,C29 C14 S4 C5 S22 C22 S35,crease,22,14.91,0.037084,-105.554,208.795
V5,1,220.879,120,30 17 30 17 4 17 4 0 4 0 9 22 23 36,C29 C14 S4 C5 S22 C22 S35,seam,35,26.193,0.065145,-106.198,211.097
USB_DM,1,122.029,65,23 10 23 10 0 10 0,S23 C6,seam,23,58.418,0.14529,98.409,61.931
USB_DM,1,122.029,65,23 10 23 10 0 10 0,S23 C6,crease,6,18.486,0.045976,79.534,56.746
USB_DP,1,119.879,59,23 10 23 10 0 10 0,S23 C6,seam,23,58.418,0.14529,94.145,70.199
USB_DP,1,119.879,59,23 10 23 10 0 10 0,S23 C6,crease,6,18.486,0.045976,74.647,66.222
DRV1,1,170.874,102,0 11 24,C7 S24,crease,7,18.152,0.045146,82.564,41.921
DRV1,1,170.874,102,0 11 24,C7 S24,seam,24,58.502,0.145501,102.048,43.473
LEDA1,1,177.618,90,24 37 50 53 42 53 42 29 42 29,S37 C46 C51 C47 C40,seam,37,26.691,0.066383,85.392,-133.902
LEDA1,1,177.618,90,24 37 50 53 42 53 42 29 42 29,S37 C46 C51 C47 C40,crease,46,58.502,0.145501,-172.91,-91.709
LEDA1,1,177.618,90,24 37 50 53 42 53 42 29 42 29,S37 C46 C51 C47 C40,crease,51,18.152,0.045146,-155.906,-81.062
LEDA1,1,177.618,90,24 37 50 53 42 53 42 29 42 29,S37 C46 C51 C47 C40,crease,47,18.152,0.045146,-75.608,-21.609
LEDA1,1,177.618,90,24 37 50 53 42 53 42 29 42 29,S37 C46 C51 C47 C40,crease,40,58.502,0.145501,-60.462,-8.452
DRV2,1,51.219,23,0 3 16,C2 C12,crease,2,18.152,0.045146,-18.019,21.801
DRV2,1,51.219,23,0 3 16,C2 C12,crease,12,58.502,0.145501,-31.935,6.26
LEDA2,1,190.657,101,16 29 42 53 50 53 50 37 50 37,C27 C40 C47 C51 C46,crease,27,26.691,0.066383,-43.74,-5.863
LEDA2,1,190.657,101,16 29 42 53 50 53 50 37 50 37,C27 C40 C47 C51 C46,crease,40,58.502,0.145501,-61.883,-5.696
LEDA2,1,190.657,101,16 29 42 53 50 53 50 37 50 37,C27 C40 C47 C51 C46,crease,47,18.152,0.045146,-81.193,-10.779
